wheelbase,enginesize,boreratio,citympg,highwaympg,price,M3 size,powerweightratio,carbody,enginelocation,enginetype,Model
95.1,97,3.15,31,37,8249.0,552247.696,0.03436254980079681,hardtop,front,ohc,nissan
97.2,120,3.33,27,34,8949.0,618420.696,0.04173838209982788,hatchback,front,ohc,nissan
97.2,120,3.33,27,34,9549.0,618420.696,0.0421372719374457,sedan,front,ohc,nissan
100.4,181,3.43,17,22,13499.0,665776.0549999999,0.04911147011308562,sedan,front,others,nissan
100.4,181,3.43,17,22,14399.0,688677.99,0.04611650485436893,wagon,front,others,nissan
100.4,181,3.43,19,25,13499.0,676402.09,0.04967320261437908,sedan,front,others,nissan
91.3,181,3.43,19,25,17199.0,576049.341,0.052100293064148484,hatchback,front,others,nissan
91.3,181,3.43,17,23,19699.0,576049.341,0.06371455877668047,hatchback,front,others,nissan
99.2,181,3.43,19,25,18399.0,602371.4550000001,0.05097164702134438,hatchback,front,others,nissan
107.9,120,3.46,19,24,11900.0,724074.876,0.032119205298013244,sedan,front,others,peugeot
107.9,152,3.7,28,33,13200.0,724074.876,0.029715358148264,sedan,front,others,peugeot
114.2,120,3.46,19,24,12440.0,798599.4120000001,0.030030959752321982,wagon,front,others,peugeot
114.2,152,3.7,25,25,13860.0,798599.4120000001,0.027696793002915453,wagon,front,others,peugeot
107.9,120,3.46,19,24,15580.0,724074.876,0.030894308943089432,sedan,front,others,peugeot
107.9,152,3.7,28,33,16900.0,724074.876,0.02921279212792128,sedan,front,others,peugeot
114.2,120,3.46,19,24,16695.0,771389.8920000001,0.0289193302891933,wagon,front,others,peugeot
114.2,152,3.7,25,25,17075.0,798599.4120000001,0.027259684361549498,wagon,front,others,peugeot
107.9,120,3.46,19,24,16630.0,724074.876,0.031544715447154474,sedan,front,others,peugeot
107.9,152,3.7,28,33,17950.0,724074.876,0.02921279212792128,sedan,front,others,peugeot
108.0,134,3.61,18,24,18150.0,714090.1599999999,0.04536741214057508,sedan,front,others,peugeot
93.7,90,2.97,37,41,5572.0,509815.59199999995,0.035453597497393116,hatchback,front,ohc,plymouth
93.7,98,3.03,24,30,7957.0,509815.59199999995,0.047932330827067667,hatchback,front,ohc,plymouth
93.7,90,2.97,31,38,6229.0,507808.444,0.03457041179461108,hatchback,front,ohc,plymouth
93.7,90,2.97,31,38,6692.0,542225.992,0.03418803418803419,sedan,front,ohc,plymouth
93.7,98,2.97,31,38,7609.0,542225.992,0.031036056595162027,sedan,front,ohc,plymouth
103.3,122,3.35,24,30,8921.0,674493.7679999998,0.03471400394477318,wagon,front,ohc,plymouth
95.9,156,3.59,19,24,12764.0,576454.632,0.05145493257629524,hatchback,front,ohc,plymouth
94.5,151,3.94,19,27,22018.0,579100.6740000001,0.05147588192944565,hatchback,front,ohc,porsche
89.5,194,3.74,17,25,32528.0,566490.6,0.07510885341074021,hardtop,rear,others,porsche
89.5,194,3.74,17,25,34028.0,566490.6,0.07510885341074021,hardtop,rear,others,porsche
89.5,194,3.74,17,25,37028.0,566490.6,0.07392857142857143,convertible,rear,others,porsche
98.4,203,3.94,17,28,31400.5,641507.0549999999,0.0855614973262032,hatchback,front,others,porsche
96.1,132,3.46,23,31,9295.0,666250.2000000001,0.03489724699495929,wagon,front,ohc,renault
96.1,132,3.46,23,31,9895.0,594631.44,0.036585365853658534,hatchback,front,ohc,renault
99.1,121,3.54,21,28,11850.0,696139.29,0.04138449962377728,hatchback,front,ohc,saab
99.1,121,3.54,21,28,12170.0,696139.29,0.04081632653061224,sedan,front,ohc,saab
99.1,121,2.54,21,28,15040.0,696139.29,0.04063538973032878,hatchback,front,ohc,saab
99.1,121,3.54,21,28,15510.0,696139.29,0.03988397389412618,sedan,front,ohc,saab
99.1,121,3.54,19,26,18150.0,696139.29,0.05698005698005698,hatchback,front,others,saab
99.1,121,3.54,19,26,18620.0,696139.29,0.056199508254302775,sedan,front,others,saab
93.7,97,3.62,31,36,5118.0,534178.6020000001,0.033658536585365856,hatchback,front,others,subaru
93.7,108,3.62,26,31,7053.0,539279.028,0.03443396226415094,hatchback,front,others,subaru
93.3,108,3.62,26,31,7603.0,558990.718,0.032589285714285716,hatchback,front,others,subaru
97.2,108,3.62,32,37,7126.0,590562.0,0.03822843822843823,sedan,front,others,subaru
97.2,108,3.62,28,33,7775.0,590562.0,0.03744292237442922,sedan,front,others,subaru
97.2,108,3.62,26,32,9960.0,590562.0,0.040170940170940174,sedan,front,others,subaru
97.0,108,3.62,24,25,9233.0,610809.8400000001,0.034381551362683435,sedan,front,others,subaru
97.0,108,3.62,24,29,11259.0,610809.8400000001,0.044223107569721115,sedan,front,others,subaru
97.0,108,3.62,28,32,7463.0,601385.7000000001,0.03580786026200873,wagon,front,others,subaru
97.0,108,3.62,25,31,10198.0,601385.7000000001,0.038289205702647655,wagon,front,others,subaru
96.9,108,3.62,23,29,8013.0,623303.856,0.033884297520661154,wagon,front,others,subaru
96.9,108,3.62,23,23,11694.0,623303.856,0.04188679245283019,wagon,front,others,subaru
95.7,92,3.05,35,39,5348.0,550085.94,0.031234256926952142,hatchback,front,ohc,toyota
95.7,92,3.05,31,38,6338.0,550085.94,0.030392156862745098,hatchback,front,ohc,toyota
95.7,92,3.05,31,38,6488.0,550085.94,0.03076923076923077,hatchback,front,ohc,toyota
95.7,92,3.05,31,37,6918.0,637861.572,0.027192982456140352,wagon,front,ohc,toyota
95.7,92,3.05,27,32,7898.0,637861.572,0.027074235807860263,wagon,front,ohc,toyota
95.7,92,3.05,27,32,8778.0,637861.572,0.019935691318327974,wagon,front,ohc,toyota
95.7,98,3.19,30,37,6938.0,567615.16,0.03363767419509851,sedan,front,ohc,toyota
95.7,98,3.19,30,37,7198.0,565473.216,0.03319108582266477,hatchback,front,ohc,toyota
95.7,110,3.27,34,36,7898.0,567615.16,0.024615384615384615,sedan,front,ohc,toyota
95.7,110,3.27,38,47,7788.0,565473.216,0.024615384615384615,hatchback,front,ohc,toyota
95.7,98,3.19,38,47,7738.0,567615.16,0.033428844317096466,sedan,front,ohc,toyota
95.7,98,3.19,28,34,8358.0,565473.216,0.03298774740810556,hatchback,front,ohc,toyota
95.7,98,3.19,28,34,9258.0,565473.216,0.03271028037383177,sedan,front,ohc,toyota
94.5,98,3.19,29,34,8058.0,567911.6799999999,0.03227293683725219,sedan,front,ohc,toyota
94.5,98,3.19,29,34,8238.0,567911.6799999999,0.03176043557168784,hatchback,front,ohc,toyota
94.5,98,3.24,26,29,9298.0,567911.6799999999,0.04944812362030905,sedan,front,others,toyota
94.5,98,3.24,26,29,9538.0,567911.6799999999,0.04869565217391304,hatchback,front,others,toyota
98.4,146,3.62,24,30,8449.0,601053.4399999998,0.04566929133858268,hardtop,front,ohc,toyota
98.4,146,3.62,24,30,9639.0,601053.4399999998,0.04574132492113565,hardtop,front,ohc,toyota
98.4,146,3.62,24,30,9989.0,601053.4399999998,0.04547236377891023,hatchback,front,ohc,toyota
98.4,146,3.62,24,30,11199.0,601053.4399999998,0.04329973870847331,hardtop,front,ohc,toyota
98.4,146,3.62,24,30,11549.0,601053.4399999998,0.04274134119380987,hatchback,front,ohc,toyota
98.4,146,3.62,24,30,17669.0,612612.1599999999,0.038991596638655465,convertible,front,ohc,toyota
102.4,122,3.31,29,34,8948.0,641089.26,0.03955288048151333,sedan,front,ohc,toyota
102.4,110,3.27,30,33,10698.0,641089.26,0.02943548387096774,sedan,front,ohc,toyota
102.4,122,3.31,27,32,9988.0,629411.86,0.03811101905550953,hatchback,front,ohc,toyota
102.4,122,3.31,27,32,10898.0,641089.26,0.03811101905550953,sedan,front,ohc,toyota
102.4,122,3.31,27,32,11248.0,629411.86,0.03742880390561432,hatchback,front,ohc,toyota
102.9,171,3.27,20,24,16558.0,645993.4,0.0540994623655914,hatchback,front,others,toyota
102.9,171,3.27,19,24,15998.0,645993.4,0.05338196286472149,hatchback,front,others,toyota
104.5,171,3.27,20,24,15690.0,675638.67,0.049824337272436924,sedan,front,others,toyota
104.5,161,3.27,19,24,15750.0,675638.67,0.04950809266899397,wagon,front,others,toyota
97.3,97,3.01,37,46,7775.0,626421.695,0.022998673153471916,sedan,front,ohc,volkswagen
97.3,109,3.19,27,34,7975.0,626421.695,0.03847894975101856,sedan,front,ohc,volkswagen
97.3,97,3.01,37,46,7995.0,626421.695,0.022968197879858657,sedan,front,ohc,volkswagen
97.3,109,3.19,27,34,8195.0,626421.695,0.03842676311030741,sedan,front,ohc,volkswagen
97.3,109,3.19,27,34,8495.0,626421.695,0.03736263736263736,sedan,front,ohc,volkswagen
97.3,97,3.01,37,42,9495.0,626421.695,0.029322984044846918,sedan,front,ohc,volkswagen
97.3,109,3.19,26,32,9995.0,626421.695,0.043478260869565216,sedan,front,ohc,volkswagen
94.5,109,3.19,24,29,11595.0,568624.5360000001,0.03992901508429459,convertible,front,ohc,volkswagen
94.5,109,3.19,24,29,9980.0,545086.72,0.040522287257991896,hatchback,front,ohc,volkswagen
100.4,136,3.19,19,24,13295.0,664251.4380000001,0.04133784291619692,sedan,front,ohc,volkswagen
100.4,97,3.01,33,38,13845.0,664251.4380000001,0.026366808840635907,sedan,front,ohc,volkswagen
100.4,109,3.19,25,31,12290.0,674941.3890000001,0.034334763948497854,wagon,front,ohc,volkswagen
104.3,141,3.78,23,28,12940.0,713029.6320000001,0.03914835164835165,sedan,front,ohc,volvo
104.3,141,3.78,23,28,13415.0,729523.2000000001,0.037574159525379035,wagon,front,ohc,volvo
104.3,141,3.78,24,28,15985.0,713029.6320000001,0.03884156729131175,sedan,front,ohc,volvo
104.3,141,3.78,24,28,16515.0,729523.2000000001,0.03747534516765286,wagon,front,ohc,volvo
104.3,130,3.62,17,22,18420.0,713029.6320000001,0.053201970443349754,sedan,front,ohc,volvo
104.3,130,3.62,17,22,18950.0,729523.2000000001,0.05131453911941717,wagon,front,ohc,volvo
109.1,141,3.78,23,28,16845.0,721961.7600000001,0.03861788617886179,sedan,front,ohc,volvo
109.1,141,3.78,19,25,19045.0,720913.92,0.05247622171203673,sedan,front,ohc,volvo
109.1,173,3.58,18,23,21485.0,721961.7600000001,0.04448871181938911,sedan,front,others,volvo
109.1,145,3.01,26,27,22470.0,721961.7600000001,0.032949953372707494,sedan,front,ohc,volvo
109.1,141,3.78,19,25,22625.0,721961.7600000001,0.037230568256041804,sedan,front,ohc,volvo
